likes,body,url
45,"Кажется, еще немного и в Красноярске начнут водить экскурсии по самым криповым районам города 

Мы тут собрали для вас большую подборку из мест, попав в которые, становится жутко и грустно, а еще начинает казаться, что правый берег — квинтэссенция российской аутентичности. 

📍Алтарь жертвоприношений, адские качели и «гости» из Припяти — всё здесь: https://newslab.ru/article/965727",https://sun1-25.userapi.com/WQjVnfcXna-WxjJu6YUi03V9zZdiR4ujEoqFDQ/xI7rkMj_sis.jpg
6,"Кстати, тут Роспотребнадзор выпустил памятку о том, как обезопасить себя на майских праздниках и минимизировать шансы на то, чтобы подхватить коронавирус 

Понимаешь, что эта тема уже всех порядком достала, но меры безопасности сегодня все равно необходимы 

Ознакомьтесь, а заодно поделитесь с близкими 👇🏻",https://sun1-95.userapi.com/FnTtGOc3E7hcq82TwoHn7I1FbnApg1mBISumAQ/a0ncNnl5zZo.jpg
170,"Просто прекрасный весенний вид в фотографиях Елены Стоговой 🌾

Доброе утро, друзья! Какие у вас планы на длинные выходные?",https://sun9-41.userapi.com/c855632/v855632252/2298e2/O8Z9w4LmNRY.jpg
15,"Немного прекрасного вам на ночь: в Москве полицейские устроили стрельбу во время погони за нарушителями режима самоизоляции 

Нет, серьезно. Полицейские хотели остановить водителя автомобиля Hyundai Solaris, однако тот не только не остановился, но и попытался скрыться. В ходе погони стражи порядка открыли огонь по колёсам авто. 

В салоне, кроме самого водителя, были ещё несколько пассажиров, пропусков у них не было — их всех оштрафовали, а гонщика еще и упекли за решетку на 5 суток. 

Когда примут поправки в закон о полиции, стрелять, наверное, нарушителям режима самоизоляции будут сразу в лоб ¯\_(ツ)_/¯",none
13,"⚡Наличие антител не означает, что человек не сможет заразиться коронавирусом

По сути, это значит, что даже если вы уже переболели коронавирусом, например, бессимптомно, то абсолютно не застрахованы от того, чтобы заболеть еще раз. 

Заканчиваем день, как и всегда, нашей сводкой по коронавирусу:

В мире / России сегодня: 
Заболевших — 3 240 544 (+19 993) / 106.601 (+6 978)
Выздоровевших — 1.013.438 (+11 455) / 11 623 (+1 323)
Погибших — 228 699 (+773) / 1 076 (+100)

На карантине в Красноярском крае — 1 680 человек

Главные новости за день: 
🦠Детские лагеря в Красноярском крае не будут работать до 1 июля
🦠Мэрия Зеленогорска сообщила о смерти жительницы с Covid-19 
🦠Под Красноярском женщина с COVID-19 двое суток провела в отделении терапии. Работавших с ней медиков отправили на карантин спустя 3 дня 7
🦠До 11 мая включительно красноярских водителей не будут штрафовать за езду по выделенным полосам для маршрутных транспортных средств.
🦠Путин согласился с идеей распространить на волонтеров некоторые программы поддержки, предусмотренные для борющихся с коронавирусом медиков
🦠При массовом нарушении самоизоляции на майские праздники в Москве может быть новый всплеск COVID-19 к июню
🦠ФАС требует от производителя препарата ""Аллокин-альфа"" прекратить распространение информации о его эффективности в лечении Сovid-19
🦠В ВОЗ считают, что РФ еще не вышла на плато по заболеваемости Covid-19
🦠После 12 мая в России можно начать ослаблять ограничительные меры при постоянном снижении числа заразившихся коронавирусом - представитель ВОЗ в РФ
🦠В Таджикистане коронавирусом заразились 15 человек, сообщил минздрав страны.
🦠Наличие антител не означает, что человек не сможет заразиться коронавирусом — представитель ВОЗ в России
🦠Государства не должны прекращать действующие программы по вакцинации из-за COVID-19 - ВОЗ
🦠Большинство клубов Футбольной национальной лиги высказались за досрочное завершение сезона, решение будет принимать РФС
🦠Верховный суд РФ разрешил арест имущества во время пандемии
🦠За фейки о COVID-19 можно наказать, если человек знал, что информация ложная - Верховный Суд РФ
🦠Решения о выходе из режима самоизоляции будут принимать после майских праздников
🦠Штрафовать за езду с просроченными после 1 февраля правами в условиях распространения COVID-19 нельзя - Верховный суд РФ
🦠Заемщики вправе получить кредитные каникулы дважды, считает Верховный суд (ВС) РФ. 
🦠15 миллиардов рублей будет выделено из бюджета фонду развития промышленности - Мишустин
🦠Правительство выделяет дополнительно 30 млрд рублей на решение проблем обманутых дольщиков - Мишустин
🦠Правительство выделит 577 млн рублей медицинским организациям на помощь пожилым гражданам — Мишустин
🦠Власти выделят россиянам, которые не могут выехать из-за рубежа, дополнительные средства на оплату временного проживания и питание, продление виз
🦠Около 40% заболевших Сovid-19 за сутки в РФ не имеют симптомов - оперштаб
🦠Генпрокуратура опровергла фейк о создании коронавируса в новосибирской лаборатории ""Вектор""

Сегодня как-то так.",https://sun1-17.userapi.com/ujz5gyjc7LXHOgqCWGNkAaxF_tC9dY6QBGmyJg/nnO12c9qWZU.jpg
4,"Общий долг жителей Красноярска, Назарово и Канска за тепло и горячую воду — более 7 млрд рублей 😮

в Красноярске составили рейтинг организаций, которые не заплатили в марте ни рубля за горячую воду и отопление. Основанием для включения в рейтинг стали не только долги за тепловую энергию в марте, но и регулярные неплатежи.

Отдельная графа в таблице неплательщиков показывает начисление за месяц, которое не оплачено. Если сравнить его с просроченной задолженностью организации, очевидно, что долг копился давно.

📍Сам список тут: newslab.ru/965359",https://sun1-24.userapi.com/4OhXTIlu9ACDDf62wjffKb0jGWeZUoLj07kukg/v557g_ZAVc0.jpg
23,"Если вы вдруг не знали, то сегодня в нашей стране отмечается День пожарной охраны 👨‍🚒

30 апреля 1649 года царь Алексей Михайлович подписал Указ о создании первой российской противопожарной службы: «Наказ о Градском благочинии», установивший строгий порядок при тушении пожаров в Москве. Именно это событие и стало основанием для выбора даты профессионального праздника пожарных.

Хочется поздравить всех причастных к этому дню и поблагодарить за их работу, они каждый день рискуют своими жизнями ради нас! С праздником, мужики! 💪🏻

📍 Особенно актуально это сейчас, ведь в нашем регионе действует режим ЧС в лесах: 

Только за вчерашний день случилось 32 лесных пожара в 22 районах Красноярского края на площади 2,2 тыс. га. К тушению привлекались более 580 человек и около 60 единиц техники, в том числе 19 воздушных судов.

Большинство пожаров, как мы с вами знаем, возникает по вине людей, поэтому хочется обратиться к вам с просьбой: не поджигайте траву, не жгите костры (а если уже, то хотя бы тушите их за собой) и не старайтесь спасти город от клещей палом травы.",https://sun1-95.userapi.com/fPKrBSwng6Da0zAYT-SaUOUOogCTP6dwHubFtg/ev9ImFk5qWE.jpg
2,"Профсоюзная организация ЭХЗ Зеленогорска отмечает 60-летний юбилей

4 мая 2020 года одна из старейших в атомной отрасли профсоюзная организация Электрохимического завода отмечает 60-летие с момента создания. Первая конференция членов профсоюза Электрохимического завода (п/я № 285) состоялась 4 мая 1960 года еще за два года до официального запуска предприятия.

В 1960–1961 гг. в завком № 151 вошли профсоюзные организации управления ЭХЗ, автотранспортного цеха, ТЭЦ, совхоза «Искра», центральной котельной, ОРСа, МСЧ-42, исполкома, суда, прокуратуры, ЖКХ, промкомбината, райкома КПСС, ОПО-19, госбанка и школы.

Подробнее: https://newslab.ru/news/965716",https://sun1-20.userapi.com/5IiaIcWFwwqkirGqq9kB56LsoQTVfedKAjQlIw/EuQrjujV5iI.jpg
17,"Мы очень часто хаем городские власти за расточительство, неразумные решения и весьма странные поступки(и делаем это резонно, миллионы на столы тратить — плохо), но совсем забываем, что сами косячим не меньше

Вот, например, особо разумные красноярцы за последние дни умудрились навредить сразу трём красноярским скверам. Так, в парке за ДК Кировский вандалы дотла сожгли урну. В сквере Универсиады на Свердловской уже не в первый раз повредили отделку деревянного помоста. А в сквере на ул. Юности разбомбили трибуны.

Замена двух трибун в сквере на Юности нам с вами (городскому бюджету) обойдется в полмиллиона рублей. 

Друзья, думайте, пожалуйста, головой. А если вдруг замечаете, что кто-то портит городское (наше с вами) имущество, постарайтесь этого не допустить или хотя бы сообщить в полицию.",https://sun1-30.userapi.com/n4IgvlgaGBbRuvNwlIr40E-fAKRkC_n4aW-w9g/tPu_4JqhoXc.jpg
11,"На Красноярской ТЭЦ-1 начали готовить котлован под фундамент для электрофильтров

Глубина котлована — 2,5 метра, ширина почти 14 метров, длина 79,5 метров. Такие масштабы связаны с тем, что он разрабатывается под устройство фундаментов сразу четырех электрофильтров. Ранее специалисты демонтировали старые газоходы и остатки дымовой трубы, снос которой был произведен методом направленного взрыва меньше месяца назад.

Подготовительные работы для установки электрофильтров выполняются в рамках проекта экологической модернизации, которая началась в в 2018 году со сноса одной из дымовых труб.",https://sun1-15.userapi.com/-uUN2sP5_MH2xznLl1uL2_NGo15MkuNRGUapZQ/1rNr7vDmhE0.jpg
12,"Оборонные предприятия Красноярского края по просьбе губернатора Александра Усса стали выпускать запчасти для аппаратов ИВЛ. Больные, у которых коронавирус проходит в тяжелой форме, нуждаются в искусственной вентиляции легких. Поэтому выросла потребность в клапанах для кислородно-дыхательной терапии и аппаратов ИВЛ. 
 
Губернатор Александр Усс обратился к руководству компании «Радиосвязь» с предложением найти возможность запустить выпуск деталей. Сегодня предприятие загружено на 100% оборонным заказом, однако смогло наладить производство важных деталей. Инженер предприятия Александр Фролов сам написал программу для изготовления 3D модели клапана. На сегодня изготовлено уже 4 сотни таких деталей. Производство кислородных клапанов также начал Красноярский машиностроительный завод. 
 
«„Красмаш“ и „Радиосвязь“ буквально за три дня освоили новое направление. Мы закрыли потребность в клапанах для ИВЛ по краю. Клапаны красноярского производства также востребованы и в других российских регионах», — заявил Александр Усс.",none
64,"А помните, был такой кинотеатр — «Родина»? 

Открылся он еще 60 лет назад и стал одним из знаковых мест города благодарю уникальной мозаике, которая долгие годы красовалась на его фасаде. 

Панно из речной гальки было создано художником Евгением Кобытевым, при участии студентов Красноярского художественного училища имени В.И. Сурикова.

В марте прошлого года здание было закрыто на реконструкцию, а жители терялись в догадках по поводу того, останется ли в первозданном виде всеми любимая мозаика — осталась. Сегодня с панно наконец был снят полог. 

В начале июня здание откроет свои двери уже в новой роли — там теперь расположится краевой Дом дружбы народов. 

Как вам обновленный вариант?

Фото: gornovosti",https://sun9-51.userapi.com/c853420/v853420552/22f1fc/NDAROFyT2VU.jpg
3,"Красноярцев зовут поделиться сокровенными историями на онлайн-флешмобе

Организаторы фестиваля «Локальные истории», который из-за коронавируса перенесли на следующий год, решили заранее привлечь к нему участников и запустили специальный флешмоб в соцсетях.

Поучаствовать во флешмобе может каждый. Нужно поделитесь историями о событиях, фотографиями предметов и просто воспоминаниями, которые связывают вашу жизнь или судьбу близкого вам человека с историей города, края, страны или мира.

 Так ваши личные и семейные рассказы станут частью культурно-исторического фестиваля, который Фонд Михаила Прохорова проведет в апреле 2021 года.

📍 О том, как поучаствовать, читайте здесь: https://newslab.ru/news/965195",https://sun1-21.userapi.com/XKLQuZuUSIXvHg7iwvT8D1HUjYD3lCGBG8IT1g/1g6Lp6H1tGc.jpg
